iter	Passed	Remaining
0	55	16729
1	111	16638
2	162	16131
3	214	15868
4	262	15474
5	320	15707
6	372	15604
7	426	15565
8	480	15529
9	535	15517
10	585	15392
11	638	15332
12	698	15431
13	751	15356
14	808	15360
15	862	15301
16	917	15274
17	969	15182
18	1018	15057
19	1074	15039
20	1124	14935
21	1178	14893
22	1228	14796
23	1284	14772
24	1342	14772
25	1403	14791
26	1466	14825
27	1521	14780
28	1583	14799
29	1641	14777
30	1701	14761
31	1768	14814
32	1830	14809
33	1886	14761
34	1941	14698
35	1993	14617
36	2045	14536
37	2107	14531
38	2170	14527
39	2231	14503
40	2290	14469
41	2351	14446
42	2412	14419
43	2479	14426
44	2543	14411
45	2598	14350
46	2655	14293
47	2706	14207
48	2758	14129
49	2822	14112
50	2885	14088
51	2945	14045
52	3004	14002
53	3063	13957
54	3118	13889
55	3177	13843
56	3230	13771
57	3289	13726
58	3340	13643
59	3393	13574
60	3456	13544
61	3519	13511
62	3569	13429
63	3626	13371
64	3680	13307
65	3743	13273
66	3808	13243
67	3864	13183
68	3919	13120
69	3981	13082
70	4036	13019
71	4091	12957
72	4148	12900
73	4203	12837
74	4263	12790
75	4314	12715
76	4361	12631
77	4410	12554
78	4459	12474
79	4503	12385
80	4560	12329
81	4610	12256
82	4666	12200
83	4724	12149
84	4776	12081
85	4829	12017
86	4888	11969
87	4940	11903
88	4989	11828
89	5042	11764
90	5096	11705
91	5147	11637
92	5202	11579
93	5247	11500
94	5299	11434
95	5351	11371
96	5406	11313
97	5465	11265
98	5516	11200
99	5569	11138
100	5624	11081
101	5674	11015
102	5734	10968
103	5788	10909
104	5850	10864
105	5908	10813
106	5963	10756
107	6024	10711
108	6084	10661
109	6139	10604
110	6190	10540
111	6250	10491
112	6312	10446
113	6366	10387
114	6419	10327
115	6478	10276
116	6545	10237
117	6606	10189
118	6658	10127
119	6710	10065
120	6756	9994
121	6812	9940
122	6866	9881
123	6917	9817
124	6971	9760
125	7028	9706
126	7078	9641
127	7125	9575
128	7180	9517
129	7229	9453
130	7278	9389
131	7332	9331
132	7390	9279
133	7449	9228
134	7508	9177
135	7568	9127
136	7623	9069
137	7680	9015
138	7733	8957
139	7785	8897
140	7837	8837
141	7886	8774
142	7941	8718
143	7993	8659
144	8043	8598
145	8090	8533
146	8143	8476
147	8194	8415
148	8247	8358
149	8298	8298
150	8352	8241
151	8400	8179
152	8449	8118
153	8503	8061
154	8582	8028
155	8641	7976
156	8695	7920
157	8758	7871
158	8814	7816
159	8861	7753
160	8912	7694
161	8963	7635
162	9022	7583
163	9084	7533
164	9139	7477
165	9196	7423
166	9251	7367
167	9308	7313
168	9361	7256
169	9407	7193
170	9466	7141
171	9524	7087
172	9577	7030
173	9634	6976
174	9691	6922
175	9743	6864
176	9802	6811
177	9857	6756
178	9912	6700
179	9962	6641
180	10016	6585
181	10075	6532
182	10128	6475
183	10177	6416
184	10241	6366
185	10293	6309
186	10344	6250
187	10402	6197
188	10460	6143
189	10518	6089
190	10569	6031
191	10629	5979
192	10684	5923
193	10735	5866
194	10788	5809
195	10846	5755
196	10897	5697
197	10958	5645
198	11021	5593
199	11072	5536
200	11126	5480
201	11172	5420
202	11228	5365
203	11287	5311
204	11337	5253
205	11390	5197
206	11446	5142
207	11495	5084
208	11544	5026
209	11595	4969
210	11653	4915
211	11708	4860
212	11768	4806
213	11824	4751
214	11878	4696
215	11934	4641
216	11993	4587
217	12045	4530
218	12101	4476
219	12160	4421
220	12212	4365
221	12273	4312
222	12326	4256
223	12377	4199
224	12432	4144
225	12491	4090
226	12543	4033
227	12594	3977
228	12645	3920
229	12698	3864
230	12758	3810
231	12810	3754
232	12862	3698
233	12921	3644
234	12980	3590
235	13039	3536
236	13090	3479
237	13153	3426
238	13210	3371
239	13261	3315
240	13320	3260
241	13368	3203
242	13416	3147
243	13467	3090
244	13520	3035
245	13570	2978
246	13633	2925
247	13691	2870
248	13749	2816
249	13799	2759
250	13850	2703
251	13905	2648
252	13957	2592
253	14012	2537
254	14073	2483
255	14139	2430
256	14189	2374
257	14241	2318
258	14299	2263
259	14355	2208
260	14403	2152
261	14457	2096
262	14514	2042
263	14567	1986
264	14617	1930
265	14665	1874
266	14710	1818
267	14762	1762
268	14812	1707
269	14861	1651
270	14916	1596
271	14970	1541
272	15027	1486
273	15078	1430
274	15130	1375
275	15184	1320
276	15236	1265
277	15294	1210
278	15348	1155
279	15414	1101
280	15469	1045
281	15519	990
282	15565	935
283	15612	879
284	15662	824
285	15712	769
286	15765	714
287	15814	658
288	15870	604
289	15920	548
290	15978	494
291	16033	439
292	16084	384
293	16140	329
294	16196	274
295	16257	219
296	16307	164
297	16364	109
298	16416	54
299	16471	0
