model,class_name,support,precision,recall,f1,fpr,fnr
Logistic Regression,Normal,68014,0.9947656295947774,0.9947363778045697,0.9947510034846279,0.051452522040757336,0.005263622195430352
Logistic Regression,Blackhole,2010,0.6463326071169209,0.8855721393034826,0.7472712006717044,0.013356554173580351,0.11442786069651742
Logistic Regression,Grayhole,2919,0.7753206545776206,0.6005481329222336,0.6768339768339767,0.007054183908684422,0.39945186707776636
Logistic Regression,Flooding,662,0.8992481203007519,0.9033232628398792,0.9012810851544838,0.0009021017624644881,0.09667673716012085
Logistic Regression,TDMA,1328,0.975825946817083,0.9118975903614458,0.9427792915531334,0.0004075810067250866,0.08810240963855422
Decision Tree,Normal,68014,0.9987023764617126,0.9731672890875408,0.9857694971293256,0.012429541841306548,0.0268327109124592
Decision Tree,Blackhole,2010,0.9588974854932302,0.9865671641791045,0.9725355566454145,0.001165613043895616,0.013432835820895522
Decision Tree,Grayhole,2919,0.6051511281396339,0.9739636861939021,0.7464881186818959,0.02575888021773544,0.02603631380609798
Decision Tree,Flooding,662,0.9068493150684932,1.0,0.9511494252873562,0.0009155659678744059,0.0
Decision Tree,TDMA,1328,0.9922547332185886,0.8682228915662651,0.9261044176706827,0.000122274302017526,0.13177710843373494
Random Forest,Normal,68014,0.9982512858192506,0.9987796630105567,0.9985154045155222,0.0171990171990172,0.00122033698944335
Random Forest,Blackhole,2010,0.9880715705765407,0.9890547263681592,0.9885629040278469,0.0003291142712175857,0.010945273631840797
Random Forest,Grayhole,2919,0.9836233367451381,0.987667009249743,0.9856410256410256,0.0006665370622378981,0.012332990750256937
Random Forest,Flooding,662,0.9273504273504274,0.9833836858006042,0.9545454545454546,0.0006866744759058044,0.01661631419939577
Random Forest,TDMA,1328,0.9967689822294022,0.9292168674698795,0.9618082618862042,5.4344134230011546e-05,0.07078313253012049
LightGBM,Normal,68014,0.9985862185764989,0.9969565089540389,0.9977706982938117,0.013874837404249168,0.0030434910459611257
LightGBM,Blackhole,2010,0.9910179640718563,0.9880597014925373,0.9895366218236173,0.00024683570341318923,0.011940298507462687
LightGBM,Grayhole,2919,0.9783637592968222,0.9914354230900994,0.984856219159435,0.0008887160829838643,0.00856457690990065
LightGBM,Flooding,662,0.926241134751773,0.986404833836858,0.9553767373811265,0.0007001386813157222,0.013595166163141994
LightGBM,TDMA,1328,0.9141599413059428,0.9382530120481928,0.926049795615013,0.0015895659262278377,0.061746987951807226
CatBoost,Normal,68014,0.9988302708145165,0.991825212456259,0.9953154163377622,0.011417834947246712,0.008174787543740994
CatBoost,Blackhole,2010,0.9774509803921568,0.9920398009950249,0.9846913580246913,0.0006308023531670392,0.007960199004975124
CatBoost,Grayhole,2919,0.9098956686689852,0.9859540938677629,0.9463992107859257,0.003957563807037521,0.014045906132237067
CatBoost,Flooding,662,0.8958051420838972,1.0,0.9450392576730906,0.0010367438165636656,0.0
CatBoost,TDMA,1328,0.859009628610729,0.9405120481927711,0.8979151689432063,0.0027851368792880917,0.05948795180722891
XGBoost,Normal,68014,0.998031814109249,0.9990443144058576,0.9985378075931137,0.019366960543431132,0.0009556855941423825
XGBoost,Blackhole,2010,0.9900744416873449,0.9925373134328358,0.991304347826087,0.00027426189268132137,0.007462686567164179
XGBoost,Grayhole,2919,0.986981843096951,0.986981843096951,0.986981843096951,0.0005276751742716694,0.01301815690304899
XGBoost,Flooding,662,0.9411764705882353,0.9667673716012085,0.9538002980625931,0.0005385682163967094,0.03323262839879154
XGBoost,TDMA,1328,0.9967637540453075,0.927710843373494,0.9609984399375975,5.4344134230011546e-05,0.07228915662650602
