model,class_name,support,precision,recall,f1,fpr,fnr
Logistic Regression,Normal,68014,0.9943260326326621,0.9945599435410357,0.9944429743318338,0.0557884087295852,0.0054400564589643305
Logistic Regression,Blackhole,2010,0.6496350364963503,0.8855721393034826,0.7494736842105262,0.013164570848703427,0.11442786069651742
Logistic Regression,Grayhole,2919,0.7686864219371959,0.5954093867762933,0.6710424710424711,0.007262476740633766,0.40459061322370676
Logistic Regression,Flooding,662,0.9004524886877828,0.9018126888217523,0.9011320754716982,0.0008886375570545704,0.09818731117824774
Logistic Regression,TDMA,1328,0.9782082324455206,0.9126506024096386,0.9442929489676666,0.00036682290605257795,0.08734939759036145
Decision Tree,Normal,68014,0.9987023764617126,0.9731672890875408,0.9857694971293256,0.012429541841306548,0.0268327109124592
Decision Tree,Blackhole,2010,0.9588974854932302,0.9865671641791045,0.9725355566454145,0.001165613043895616,0.013432835820895522
Decision Tree,Grayhole,2919,0.6051511281396339,0.9739636861939021,0.7464881186818959,0.02575888021773544,0.02603631380609798
Decision Tree,Flooding,662,0.9068493150684932,1.0,0.9511494252873562,0.0009155659678744059,0.0
Decision Tree,TDMA,1328,0.9922547332185886,0.8682228915662651,0.9261044176706827,0.000122274302017526,0.13177710843373494
Random Forest,Normal,68014,0.9982219740496378,0.9987943658658511,0.9985080879272711,0.017488076311605722,0.0012056341341488517
Random Forest,Blackhole,2010,0.9870967741935484,0.9895522388059701,0.9883229813664596,0.00035654046048571783,0.010447761194029851
Random Forest,Grayhole,2919,0.9846101231190151,0.986296676944159,0.9854526784186205,0.0006248784958480296,0.013703323055841042
Random Forest,Flooding,662,0.9273504273504274,0.9833836858006042,0.9545454545454546,0.0006866744759058044,0.01661631419939577
Random Forest,TDMA,1328,0.9959644874899112,0.9292168674698795,0.9614335800545384,6.793016778751444e-05,0.07078313253012049
LightGBM,Normal,68014,0.9985862185764989,0.9969565089540389,0.9977706982938117,0.013874837404249168,0.0030434910459611257
LightGBM,Blackhole,2010,0.9910179640718563,0.9880597014925373,0.9895366218236173,0.00024683570341318923,0.011940298507462687
LightGBM,Grayhole,2919,0.9783637592968222,0.9914354230900994,0.984856219159435,0.0008887160829838643,0.00856457690990065
LightGBM,Flooding,662,0.926241134751773,0.986404833836858,0.9553767373811265,0.0007001386813157222,0.013595166163141994
LightGBM,TDMA,1328,0.9141599413059428,0.9382530120481928,0.926049795615013,0.0015895659262278377,0.061746987951807226
CatBoost,Normal,68014,0.9988153237868175,0.9916928867586086,0.9952413625196431,0.011562364503540975,0.008307113241391478
CatBoost,Blackhole,2010,0.9754661432777233,0.9890547263681592,0.982213438735178,0.0006856547317033035,0.010945273631840797
CatBoost,Grayhole,2919,0.9102969046114971,0.987324426173347,0.9472473294987676,0.003943677618240897,0.012675573826652964
CatBoost,Flooding,662,0.8897849462365591,1.0,0.9416785206258891,0.0011040648436132542,0.0
CatBoost,TDMA,1328,0.8564560439560439,0.9390060240963856,0.8958333333333333,0.0028394810135181033,0.06099397590361446
XGBoost,Normal,68014,0.9980610476218456,0.9990002058399742,0.9985304059018899,0.019077901430842606,0.0009997941600258771
XGBoost,Blackhole,2010,0.9900497512437811,0.9900497512437811,0.9900497512437811,0.00027426189268132137,0.009950248756218905
XGBoost,Grayhole,2919,0.9859781121751026,0.987667009249743,0.9868218380968681,0.0005693337406615381,0.012332990750256937
XGBoost,Flooding,662,0.9385964912280702,0.9697885196374623,0.9539375928677564,0.0005654966272165448,0.030211480362537766
XGBoost,TDMA,1328,0.9959579628132579,0.927710843373494,0.9606237816764134,6.793016778751444e-05,0.07228915662650602
