model,class_name,support,precision,recall,f1,fpr,fnr
Logistic Regression,Normal,68014,0.994756841144069,0.9930602523009968,0.9939078227088116,0.051452522040757336,0.006939747699003147
Logistic Regression,Blackhole,2010,0.6275597269624573,0.7318407960199005,0.6757005052824988,0.011971531615539679,0.2681592039800995
Logistic Regression,Grayhole,2919,0.667375132837407,0.645426515930113,0.6562173458725183,0.013039131280028883,0.3545734840698869
Logistic Regression,Flooding,662,0.9029605263157895,0.8293051359516617,0.8645669291338584,0.0007943881191851463,0.17069486404833836
Logistic Regression,TDMA,1328,0.9626984126984127,0.9134036144578314,0.9374034003091191,0.0006385435772026357,0.08659638554216867
Decision Tree,Normal,68014,0.9987311944897589,0.9721527920722204,0.9852627814451116,0.012140482728718023,0.027847207927779574
Decision Tree,Blackhole,2010,0.958614051973051,0.991044776119403,0.9745596868884541,0.001179326138529682,0.008955223880597015
Decision Tree,Grayhole,2919,0.6064419795221843,0.9739636861939021,0.7474694360457473,0.02562001832976921,0.02603631380609798
Decision Tree,Flooding,662,0.9068493150684932,1.0,0.9511494252873562,0.0009155659678744059,0.0
Decision Tree,TDMA,1328,0.9367396593673966,0.8697289156626506,0.9019914096056227,0.0010597106174852252,0.1302710843373494
Random Forest,Normal,68014,0.9981180068516313,0.9981033316670097,0.9981106692053785,0.01849978320566556,0.0018966683329902667
Random Forest,Blackhole,2010,0.9905094905094906,0.9865671641791045,0.9885343968095712,0.00026054879804725533,0.013432835820895522
Random Forest,Grayhole,2919,0.9792798913043478,0.987667009249743,0.9834555688214224,0.0008470575165939956,0.012332990750256937
Random Forest,Flooding,662,0.9278499278499278,0.9712990936555891,0.9490774907749078,0.0006732102704958867,0.028700906344410877
Random Forest,TDMA,1328,0.9640905542544886,0.9299698795180723,0.9467228823303947,0.0006249575436451328,0.07003012048192771
LightGBM,Normal,68014,0.9964012444294963,0.8711588790543123,0.929580558366476,0.030929325046972107,0.12884112094568764
LightGBM,Blackhole,2010,0.7748234316576651,0.927860696517413,0.8444645687117953,0.00743249729166381,0.07213930348258707
LightGBM,Grayhole,2919,0.3271353166986564,0.934224049331963,0.4845846290537539,0.07788763296025773,0.065775950668037
LightGBM,Flooding,662,0.3713509843856076,0.8262839879154078,0.5124121779859485,0.012467854209583821,0.17371601208459214
LightGBM,TDMA,1328,0.37115621156211565,0.9088855421686747,0.5270742358078603,0.027783438625093405,0.0911144578313253
CatBoost,Normal,68014,0.998814533815423,0.9910312582703561,0.9949076739140061,0.011562364503540975,0.008968741729643896
CatBoost,Blackhole,2010,0.9797630799605134,0.9875621890547264,0.9836471754212092,0.0005622368799967089,0.012437810945273632
CatBoost,Grayhole,2919,0.9227564102564103,0.986296676944159,0.9534691174035437,0.0033465714999861137,0.013703323055841042
CatBoost,Flooding,662,0.898236092265943,1.0,0.9463902787705504,0.00100981540574383,0.0
CatBoost,TDMA,1328,0.7969348659003831,0.9397590361445783,0.8624740843123704,0.004320358671285918,0.060240963855421686
XGBoost,Normal,68014,0.9980019099390288,0.9987502572999677,0.9983759433858274,0.019656019656019656,0.0012497427000323462
XGBoost,Blackhole,2010,0.9865537848605578,0.9855721393034826,0.9860627177700347,0.0003702535551197839,0.014427860696517412
XGBoost,Grayhole,2919,0.9798840777361064,0.9845837615621789,0.9822282980177718,0.0008192851390007498,0.015416238437821172
XGBoost,Flooding,662,0.9287790697674418,0.9652567975830816,0.9466666666666667,0.000659746065085969,0.03474320241691843
XGBoost,TDMA,1328,0.9951573849878934,0.9284638554216867,0.9606544604596805,8.151620134501732e-05,0.07153614457831325
