Is_CH,SCH_S,ADV_S,Expaned Energy,Data_Sent_To_BS,DATA_R,JOIN_R,JOIN_S,ADV_R,Rank,DATA_S,dist_CH_To_BS,Dist_To_CH,SCH_R,label
0,0,0,1.59098,0,0,0,1,27,53,0,0.0,4.73337,0,0
0,0,0,0.17106,0,0,0,1,6,1,103,0.0,4.73544,1,0
1,0,1,0.02869,0,0,0,0,25,0,0,0.0,0.0,0,2
0,0,0,0.05537,0,0,0,1,4,35,31,0.0,23.21945,1,0
0,0,0,0.05841,0,0,0,1,4,1,32,0.0,16.21254,1,0
1,1,1,2.56797,229,229,1,0,15,0,0,145.34528,0.0,0,4
0,0,0,0.02956,0,0,0,1,1,81,15,0.0,27.52203,1,0
0,0,0,0.03777,0,0,0,1,2,35,19,0.0,47.77323,1,0
1,0,1,0.03202,0,3,0,0,26,0,0,0.0,0.0,0,2
0,0,0,0.06159,0,0,0,1,2,24,37,0.0,35.81542,1,0
0,0,0,2.49885,0,0,0,1,6,2,160,0.0,13.75621,1,0
0,0,0,0.0061,0,0,0,1,28,21,0,0.0,30.74628,0,0
0,0,0,0.0737,0,0,0,1,5,1,42,0.0,26.62399,1,0
0,0,0,1.27703,0,0,0,1,27,11,0,0.0,44.07398,0,0
0,0,0,0.16016,0,0,0,1,6,1,96,0.0,13.47281,1,0
0,0,0,0.13529,0,0,0,1,4,1,80,0.0,11.8053,1,0
0,0,0,0.04572,0,0,0,1,2,7,23,0.0,56.36342,1,0
0,0,0,0.67534,13,364,0,0,0,0,13,156.97332,0.0,0,0
1,1,1,0.66983,0,241,1,0,13,0,0,0.0,0.0,0,1
0,0,0,0.4539,0,0,0,1,27,1,44,0.0,6.555,1,0
0,0,0,0.04847,0,0,0,1,1,16,26,0.0,38.46896,1,0
0,0,0,0.68326,13,351,0,0,0,0,13,163.97117,0.0,0,0
0,0,0,0.07235,0,0,0,1,9,1,42,0.0,4.46764,1,0
0,0,0,0.16244,0,0,0,1,5,9,96,0.0,27.78157,1,0
1,36,1,0.0072,0,0,36,0,3,0,0,0.0,0.0,0,4
0,0,0,0.0608,0,0,0,1,5,22,33,0.0,42.28933,1,0
0,0,0,0.12462,0,0,0,1,5,27,42,0.0,23.45669,1,0
0,0,0,0.08974,0,0,0,1,4,10,55,0.0,18.05918,1,0
0,0,0,0.1098,0,0,0,1,12,16,0,0.0,6.97538,0,0
0,0,0,0.03998,0,0,0,1,3,9,24,0.0,21.4979,1,0
0,0,0,0.0426,0,0,0,1,3,45,23,0.0,24.6832,1,0
0,0,0,0.66247,0,0,0,1,27,36,0,0.0,19.25888,0,0
0,0,0,0.103,0,0,0,1,8,1,61,0.0,7.32385,1,0
0,0,0,0.03996,0,0,0,1,3,43,24,0.0,37.49489,1,0
0,0,0,2.17374,0,0,0,1,5,39,24,0.0,10.37618,1,0
1,0,1,0.04645,1,0,0,0,27,0,0,130.08535,0.0,0,2
0,0,0,0.04203,2,1104,0,0,4,23,2,125.29042,0.0,0,0
