class_name,metric,preference,before,after,delta,change_pct,trend,improved
Blackhole,precision,higher,0.9712475633528264,0.9636979670861568,-0.0075495962666695116,-0.7773091590168509,降低,否
Blackhole,recall,higher,0.991542288557214,0.990547263681592,-0.0009950248756220859,-0.10035122930257864,降低,否
Blackhole,f1,higher,0.9812900049236828,0.97693817468106,-0.004351830242622756,-0.4434805430389773,降低,否
Blackhole,fpr,lower,0.0008090725834098,0.0010284820975549,0.00021940951414509992,27.118644067805185,提高,否
Blackhole,fnr,lower,0.008457711442786,0.0094527363184079,0.0009950248756219002,11.764705882353152,提高,否
Grayhole,precision,higher,0.9001256281407035,0.9758953168044076,0.07576968866370404,8.417679298856722,提高,是
Grayhole,recall,higher,0.9818430969510106,0.9708804385063378,-0.010962658444672813,-1.1165387299371927,降低,否
Grayhole,f1,higher,0.939210224479764,0.973381418512794,0.03417119403303004,3.6382902509347934,提高,是
Grayhole,fpr,lower,0.004415808037326,0.0009720332157636,-0.0034437748215624003,-77.98742138364746,降低,是
Grayhole,fnr,lower,0.0181569030489893,0.0291195614936622,0.0109626584446729,60.37735849056667,提高,否
Flooding,precision,higher,0.9006802721088435,0.9231863442389758,0.022506072130132337,2.4987859540252675,提高,是
Flooding,recall,higher,1.0,0.9803625377643505,-0.01963746223564955,-1.963746223564955,降低,否
Flooding,f1,higher,0.9477451682176092,0.950915750915751,0.003170582698141744,0.33453957925256916,提高,是
Flooding,fpr,lower,0.0009828869949239,0.0007270670921355,-0.00025581990278840004,-26.02739726027272,降低,是
Flooding,fnr,lower,0.0,0.0196374622356495,0.0196374622356495,,提高,否
TDMA,precision,higher,0.8629088378566457,0.9824,0.11949116214335431,13.847483870967755,提高,是
TDMA,recall,higher,0.933734939759036,0.9246987951807228,-0.009036144578313143,-0.9677419354838593,降低,否
TDMA,f1,higher,0.8969258589511753,0.9526764934057408,0.05575063445456552,6.215746139793294,提高,是
TDMA,fpr,lower,0.002676448610828,0.000298892738265,-0.0023775558725629997,-88.83248730964675,降低,是
TDMA,fnr,lower,0.0662650602409638,0.0753012048192771,0.009036144578313296,13.63636363636371,提高,否
