,count_real,mean_real,std_real,min_real,25%_real,50%_real,75%_real,max_real,count_syn,mean_syn,std_syn,min_syn,25%_syn,50%_syn,75%_syn,max_syn
Is_CH,8039.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8039.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SCH_S,8039.0,0.3682050006219679,0.4823474053289712,0.0,0.0,0.0,1.0,1.0,8039.0,0.35265580296056726,0.4778264213117114,0.0,0.0,0.0,1.0,1.0
ADV_S,8039.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8039.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Expaned Energy,8039.0,0.18825215076502053,0.509763650891109,0.00224,0.00447,0.00468,0.00722,2.37221,8039.0,0.1545744707053116,0.47732164316316983,0.00224,0.004115000000000001,0.00749,0.011665,2.37221
Data_Sent_To_BS,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DATA_R,8039.0,307.40813534021646,455.41197603476917,0.0,0.0,0.0,640.0,1372.0,8039.0,319.4527926359,460.15589624313833,0.0,0.0,6.0,739.0,1372.0
JOIN_R,8039.0,5.217937554422192,11.556444198525849,0.0,0.0,0.0,5.0,99.0,8039.0,5.715387486005722,10.730629310313986,0.0,0.0,0.0,8.0,92.0
JOIN_S,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADV_R,8039.0,17.09391715387486,9.570446317476708,0.0,7.0,24.0,26.0,28.0,8039.0,16.108719990048513,9.880267145501252,0.0,6.0,22.0,25.0,27.0
Rank,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DATA_S,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dist_CH_To_BS,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dist_To_CH,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCH_R,8039.0,0.0208981216569225,0.14305221337116833,0.0,0.0,0.0,0.0,1.0,8039.0,0.04963303893519094,0.21719914527168446,0.0,0.0,0.0,0.0,1.0
