,count_real,mean_real,std_real,min_real,25%_real,50%_real,75%_real,max_real,count_syn,mean_syn,std_syn,min_syn,25%_syn,50%_syn,75%_syn,max_syn
Is_CH,2650.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2650.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SCH_S,2650.0,0.17169811320754716,0.3771890222542074,0.0,0.0,0.0,0.0,1.0,2650.0,0.18528301886792453,0.38860031751247953,0.0,0.0,0.0,0.0,1.0
ADV_S,2650.0,16.99056603773585,12.904076865664608,1.0,10.0,15.0,20.0,97.0,2650.0,21.527169811320753,20.119861140091377,1.0,9.0,16.0,24.0,97.0
Expaned Energy,2650.0,1.2346615773584906,1.076925276437075,0.00742,0.242785,0.95571,2.125255,4.61098,2650.0,0.9662717396226415,1.1035965260916762,0.00742,0.2247825,0.38721,1.3477299999999999,4.61098
Data_Sent_To_BS,2650.0,32.79132075471698,55.90928450412048,0.0,13.0,13.0,13.0,241.0,2650.0,25.901132075471697,43.9997258674144,0.0,13.0,14.0,16.0,241.0
DATA_R,2650.0,142.4966037735849,311.9501480276111,0.0,0.0,0.0,0.0,1360.0,2650.0,195.57169811320756,334.8828899370313,0.0,0.0,12.0,271.75,1360.0
JOIN_R,2650.0,2.5,10.331582676628082,0.0,0.0,0.0,0.0,124.0,2650.0,2.2739622641509434,11.353729510606197,0.0,0.0,0.0,1.0,124.0
JOIN_S,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADV_R,2650.0,24.113584905660378,7.009156793211966,0.0,22.0,28.0,28.0,28.0,2650.0,26.119245283018866,5.158577008970649,0.0,28.0,28.0,28.0,28.0
Rank,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DATA_S,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dist_CH_To_BS,2650.0,126.59774735849057,40.34129244303907,0.0,94.18194,126.74493,159.31297,201.93494,2650.0,118.90857530566038,36.2141787521375,0.0,89.91312500000001,122.56445,147.35352749999998,201.93494
Dist_To_CH,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCH_R,2650.0,0.18528301886792453,0.3886003175124796,0.0,0.0,0.0,0.0,1.0,2650.0,0.2071698113207547,0.4053547647549183,0.0,0.0,0.0,0.0,1.0
