,count_real,mean_real,std_real,min_real,25%_real,50%_real,75%_real,max_real,count_syn,mean_syn,std_syn,min_syn,25%_syn,50%_syn,75%_syn,max_syn
Is_CH,11677.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11677.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SCH_S,11677.0,0.21092746424595357,0.4079844650271784,0.0,0.0,0.0,0.0,1.0,11677.0,0.2206902457823071,0.41472978079387746,0.0,0.0,0.0,0.0,1.0
ADV_S,11677.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11677.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Expaned Energy,11677.0,0.4842045825126316,0.8570060569339164,0.0,0.02222,0.03694,0.13838,4.16005,11677.0,0.5121007262139248,0.8595798017207575,0.0,0.02085,0.0329,0.54621,4.06079
Data_Sent_To_BS,11677.0,12.457223601952556,27.190993176044966,0.0,0.0,1.0,4.0,140.0,11677.0,9.639462190631155,20.86580915667564,0.0,0.0,1.0,4.0,140.0
DATA_R,11677.0,179.43983899974307,380.25148466306257,0.0,0.0,0.0,0.0,1372.0,11677.0,184.2340498415689,355.89604205354954,0.0,0.0,1.0,5.0,1368.0
JOIN_R,11677.0,3.014387257000942,8.9742388676086,0.0,0.0,0.0,0.0,99.0,11677.0,3.2772972510062517,8.951604262246475,0.0,0.0,0.0,0.0,86.0
JOIN_S,11677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADV_R,11677.0,18.987668065427766,9.11413781264872,0.0,9.0,25.0,26.0,28.0,11677.0,18.58319773914533,9.250771582480283,0.0,9.0,25.0,26.0,28.0
Rank,11677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DATA_S,11677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dist_CH_To_BS,11677.0,75.76027280380234,64.81165537104815,0.0,0.0,91.08583,136.03878,176.62353,11677.0,71.10244818617797,65.9060141110313,0.0,0.0,85.27278,134.12648,176.62353
Dist_To_CH,11677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCH_R,11677.0,0.0044531985955296735,0.06658638987794555,0.0,0.0,0.0,0.0,1.0,11677.0,0.039736233621649394,0.1953472123362745,0.0,0.0,0.0,0.0,1.0
