,count_real,mean_real,std_real,min_real,25%_real,50%_real,75%_real,max_real,count_syn,mean_syn,std_syn,min_syn,25%_syn,50%_syn,75%_syn,max_syn
Is_CH,5310.0,0.9365348399246705,0.24382069049162494,0.0,1.0,1.0,1.0,1.0,5310.0,0.6664783427495292,0.47151546194694577,0.0,0.0,1.0,1.0,1.0
SCH_S,5310.0,14.534463276836158,15.088682364924248,0.0,4.0,10.0,20.0,99.0,5310.0,11.656120527306967,14.851142311894442,0.0,0.0,7.0,18.0,99.0
ADV_S,5310.0,0.9365348399246705,0.24382069049162494,0.0,1.0,1.0,1.0,1.0,5310.0,0.6448210922787194,0.47861256835683397,0.0,0.0,1.0,1.0,1.0
Expaned Energy,5310.0,0.4838636026365349,0.8629380995274922,0.00222,0.00703,0.00724,0.5741125,4.95157,5310.0,0.3574826704331451,0.7256682457018954,0.00222,0.0114025,0.030685,0.25362,4.94775
Data_Sent_To_BS,5310.0,25.627495291902072,64.27869366115485,0.0,0.0,0.0,0.0,241.0,5310.0,9.579661016949153,38.30506223812277,0.0,0.0,0.0,1.0,241.0
DATA_R,5310.0,62.28267419962335,197.51962152258255,0.0,0.0,0.0,0.0,1298.0,5310.0,26.388323917137477,131.27918203050473,0.0,0.0,0.0,2.0,1298.0
JOIN_R,5310.0,14.534463276836158,15.088682364924248,0.0,4.0,10.0,20.0,99.0,5310.0,10.365536723163842,13.014050488557752,0.0,1.0,6.0,16.0,96.0
JOIN_S,5310.0,0.06007532956685499,0.23764873300555872,0.0,0.0,0.0,0.0,1.0,5310.0,0.3239171374764595,0.46801290073800605,0.0,0.0,0.0,1.0,1.0
ADV_R,5310.0,5.312241054613936,2.818229825694357,0.0,4.0,5.0,7.0,26.0,5310.0,5.1892655367231635,3.1629562689536344,0.0,3.0,4.0,7.0,26.0
Rank,5310.0,1.1393596986817325,6.259156018162938,0.0,0.0,0.0,0.0,89.0,5310.0,7.8485875706214685,17.375557948313936,0.0,0.0,0.0,5.0,89.0
DATA_S,5310.0,3.0071563088512243,15.178387545950265,0.0,0.0,0.0,0.0,241.0,5310.0,13.11864406779661,24.430346415894707,0.0,0.0,0.0,17.0,131.0
dist_CH_To_BS,5310.0,22.90141875141243,49.421016472338216,0.0,0.0,0.0,0.0,176.62353,5310.0,34.33487906591337,60.484500133421946,0.0,0.26145,0.856895,2.0047024999999996,176.62353
Dist_To_CH,5310.0,1.7305238549905837,8.222983542760534,0.0,0.0,0.0,0.0,102.4301,5310.0,8.41066659322034,14.348543158478234,0.0,0.0,0.0031149999999999997,14.4068975,66.2122
SCH_R,5310.0,0.0583804143126177,0.2344834664882284,0.0,0.0,0.0,0.0,1.0,5310.0,0.31807909604519774,0.4657742379706513,0.0,0.0,0.0,1.0,1.0
