model,class_name,support,precision,recall,f1,fpr,fnr
Logistic Regression,Normal,68014,0.9961502583768898,0.9891639956479549,0.9926448347854314,0.037577684636508166,0.010836004352045167
Logistic Regression,Blackhole,2010,0.6293298802201359,0.9671641791044776,0.7625024514610707,0.01570149335600565,0.03283582089552239
Logistic Regression,Grayhole,2919,0.7023411371237458,0.5755395683453237,0.6326492186028997,0.00988696642319549,0.4244604316546763
Logistic Regression,Flooding,662,0.9079136690647482,0.9531722054380665,0.9299926308032425,0.0008617091462347349,0.04682779456193353
Logistic Regression,TDMA,1328,0.9737704918032787,0.8945783132530121,0.9324960753532183,0.00043475307384009237,0.10542168674698796
Decision Tree,Normal,68014,0.9986252446915019,0.9825771164760196,0.9905361840886352,0.01329671917907212,0.017422883523980356
Decision Tree,Blackhole,2010,0.90963554667998,0.9064676616915422,0.9080488412658858,0.0024820701287659587,0.09353233830845771
Decision Tree,Grayhole,2919,0.6661008729388943,0.9410757108598835,0.780065313076814,0.019121281972949704,0.05892428914011648
Decision Tree,Flooding,662,0.9043715846994536,1.0,0.9497847919655668,0.0009424943786942413,0.0
Decision Tree,TDMA,1328,1.0,0.8682228915662651,0.9294639258363563,0.0,0.13177710843373494
Random Forest,Normal,68014,0.998338210856042,0.9981180345223042,0.9982281105482563,0.016331839861251626,0.0018819654776957686
Random Forest,Blackhole,2010,0.9598257502420136,0.9865671641791045,0.9730127576054957,0.0011381868546274838,0.013432835820895522
Random Forest,Grayhole,2919,0.9735395189003436,0.9705378554299418,0.972036369874764,0.0010692365373399617,0.02946214457005824
Random Forest,Flooding,662,0.9212376933895922,0.9894259818731118,0.9541150764748726,0.0007539955029553931,0.010574018126888218
Random Forest,TDMA,1328,0.9847634322373697,0.9246987951807228,0.9537864077669903,0.00025813463759255485,0.07530120481927711
LightGBM,Normal,68014,0.9979091819306202,0.9964713147293204,0.9971897300080924,0.020523196993785228,0.003528685270679566
LightGBM,Blackhole,2010,0.9378823529411765,0.9915422885572139,0.9639661426844014,0.0018101284916967211,0.00845771144278607
LightGBM,Grayhole,2919,0.9706288873531445,0.9623158615964371,0.9664544985377602,0.0011803260477129447,0.03768413840356286
LightGBM,Flooding,662,0.9199417758369723,0.9546827794561934,0.9369903632320237,0.0007405312975454753,0.045317220543806644
LightGBM,TDMA,1328,0.9328756674294432,0.920933734939759,0.9268662372110648,0.0011955709530602542,0.07906626506024096
CatBoost,Normal,68014,0.9983238252073163,0.9982944687858382,0.9983091467807624,0.016476369417545888,0.0017055312141617902
CatBoost,Blackhole,2010,0.9472182596291013,0.991044776119403,0.9686360320933626,0.0015221535043813338,0.008955223880597015
CatBoost,Grayhole,2919,0.9800559832050385,0.9595751969852689,0.9697074606196988,0.0007915127614075041,0.04042480301473107
CatBoost,Flooding,662,0.9251412429378532,0.9894259818731118,0.9562043795620438,0.0007136028867256399,0.010574018126888218
CatBoost,TDMA,1328,0.981629392971246,0.9254518072289156,0.9527131782945736,0.0003124787718225664,0.07454819277108433
XGBoost,Normal,68014,0.9980596510311779,0.9982797659305437,0.9981696963460083,0.019077901430842606,0.0017202340694562883
XGBoost,Blackhole,2010,0.9540669856459331,0.9920398009950249,0.9726829268292682,0.0013164570848703428,0.007960199004975124
XGBoost,Grayhole,2919,0.9794425087108014,0.9630010277492291,0.9711521851787873,0.0008192851390007498,0.03699897225077081
XGBoost,Flooding,662,0.9263005780346821,0.9682779456193353,0.946824224519941,0.0006866744759058044,0.03172205438066465
XGBoost,TDMA,1328,0.9824281150159745,0.9262048192771084,0.9534883720930234,0.00029889273826506354,0.07379518072289157
