class_name,metric,metric_label,support_original,support_balanced,original_value,balanced_value,delta,benefit_delta,higher_is_better,improved
Blackhole,precision,Precision,2010,2010,0.6793265465935787,0.9378823529411764,0.25855580634759767,0.25855580634759767,True,True
Grayhole,precision,Precision,2919,2919,0.9637389202256244,0.9706288873531445,0.006889967127520102,0.006889967127520102,True,True
Flooding,precision,Precision,662,662,0.0181818181818181,0.9199417758369725,0.9017599576551544,0.9017599576551544,True,True
TDMA,precision,Precision,1328,1328,0.5294753921038399,0.9328756674294432,0.4034002753256033,0.4034002753256033,True,True
Blackhole,recall,Recall,2010,2010,0.8631840796019901,0.991542288557214,0.12835820895522398,0.12835820895522398,True,True
Grayhole,recall,Recall,2919,2919,0.4097293593696471,0.9623158615964372,0.5525865022267902,0.5525865022267902,True,True
Flooding,recall,Recall,662,662,0.0045317220543806,0.9546827794561934,0.9501510574018128,0.9501510574018128,True,True
TDMA,recall,Recall,1328,1328,0.7371987951807228,0.920933734939759,0.1837349397590362,0.1837349397590362,True,True
Blackhole,f1,F1,2010,2010,0.7602979842243646,0.9639661426844014,0.20366815846003683,0.20366815846003683,True,True
Grayhole,f1,F1,2919,2919,0.575,0.9664544985377602,0.39145449853776026,0.39145449853776026,True,True
Flooding,f1,F1,662,662,0.0072551390568319,0.9369903632320236,0.9297352241751916,0.9297352241751916,True,True
TDMA,f1,F1,1328,1328,0.6163046899590809,0.9268662372110648,0.3105615472519838,0.3105615472519838,True,True
Blackhole,fpr,FPR,2010,2010,0.0112310245053001,0.0018101284916967,-0.0094208960136034,0.0094208960136034,False,True
Grayhole,fpr,FPR,2919,2919,0.000624878495848,0.0011803260477129,0.0005554475518649001,-0.0005554475518649001,False,False
Flooding,fpr,FPR,662,662,0.0021812012764066,0.0007405312975454,-0.0014406699788612,0.0014406699788612,False,True
TDMA,fpr,FPR,1328,1328,0.0118198491950275,0.0011955709530602,-0.0106242782419673,0.0106242782419673,False,True
Blackhole,fnr,FNR,2010,2010,0.1368159203980099,0.008457711442786,-0.1283582089552239,0.1283582089552239,False,True
Grayhole,fnr,FNR,2919,2919,0.5902706406303528,0.0376841384035628,-0.5525865022267901,0.5525865022267901,False,True
Flooding,fnr,FNR,662,662,0.9954682779456192,0.0453172205438066,-0.9501510574018126,0.9501510574018126,False,True
TDMA,fnr,FNR,1328,1328,0.2628012048192771,0.0790662650602409,-0.1837349397590362,0.1837349397590362,False,True
