metric,metric_label,original_value,balanced_value,delta,benefit_delta,higher_is_better,improved
accuracy,Accuracy,0.9421483191651208,0.9933006819425352,0.05115236277741442,0.05115236277741442,True,True
macro_precision_from_report,Macro Precision,0.6310876521387547,0.9518475730982712,0.32075992095951644,0.32075992095951644,True,True
macro_recall_from_report,Macro Recall,0.5990207723040706,0.9651891958557848,0.3661684235517142,0.3661684235517142,True,True
macro_f1,Macro F1,0.5862763680265793,0.9582933943346684,0.3720170263080891,0.3720170263080891,True,True
weighted_f1,Weighted F1,0.9365049930429432,0.9933231140922378,0.05681812104929462,0.05681812104929462,True,True
attack_macro_recall,Attack Macro Recall,0.5036609890516852,0.9573686661374008,0.4537076770857156,0.4537076770857156,True,True
attack_macro_f1,Attack Macro F1,0.4897144533100693,0.9485693104163124,0.45885485710624313,0.45885485710624313,True,True
macro_fpr,Macro FPR,0.0756729082548575,0.0050899507567601,-0.0705829574980974,0.0705829574980974,False,True
macro_fnr,Macro FNR,0.4009792276959295,0.0348108041442152,-0.36616842355171425,0.36616842355171425,False,True
normal_false_alarm_rate,Normal False Alarm Rate,0.019540094686388,0.0035286852706796,-0.0160114094157084,0.0160114094157084,False,True
