model,class_name,support,precision,recall,f1,fpr,fnr
Logistic Regression,Normal,68014,0.9943727777614528,0.995074543476343,0.9947235368470561,0.055354820060702414,0.004925456523656894
Logistic Regression,Blackhole,2010,0.635988575055538,0.9970149253731343,0.7765936833946909,0.015728919545273782,0.0029850746268656717
Logistic Regression,Grayhole,2919,0.8573743922204214,0.5436793422404933,0.6654088050314465,0.00366595384230844,0.4563206577595067
Logistic Regression,Flooding,662,0.902668759811617,0.8685800604229608,0.8852963818321786,0.0008347807354148995,0.13141993957703926
Logistic Regression,TDMA,1328,0.9691558441558441,0.8990963855421686,0.9328125,0.0005162692751851097,0.10090361445783133
Decision Tree,Normal,68014,0.9877851939100467,0.9987502572999677,0.9932374637199068,0.12140482728718023,0.0012497427000323462
Decision Tree,Blackhole,2010,0.9534325492078732,0.9880597014925373,0.9704373320302956,0.0013301701795044088,0.011940298507462687
Decision Tree,Grayhole,2919,0.9849726775956285,0.7410071942446043,0.8457478005865102,0.000458244230288555,0.2589928057553957
Decision Tree,Flooding,662,0.9043715846994536,1.0,0.9497847919655668,0.0009424943786942413,0.0
Decision Tree,TDMA,1328,1.0,0.8682228915662651,0.9294639258363563,0.0,0.13177710843373494
Random Forest,Normal,68014,0.9982066998868163,0.9984562001940777,0.9983314344518358,0.017632605867899987,0.0015437998059223102
Random Forest,Blackhole,2010,0.9811227024341779,0.9825870646766169,0.9818543375590355,0.0005210975960945107,0.017412935323383085
Random Forest,Grayhole,2919,0.9778383907262189,0.9825282631038027,0.9801777170198223,0.0009026022717804871,0.017471736896197326
Random Forest,Flooding,662,0.922425952045134,0.9879154078549849,0.9540481400437637,0.0007405312975454753,0.012084592145015106
Random Forest,TDMA,1328,0.9855653568564555,0.9254518072289156,0.9545631067961164,0.000244548604035052,0.07454819277108433
LightGBM,Normal,68014,0.9647155835889126,0.9804599053136119,0.9725240268926191,0.35250758780170544,0.019540094686388097
LightGBM,Blackhole,2010,0.6793265465935787,0.8631840796019901,0.7602979842243646,0.011231024505300112,0.13681592039800994
LightGBM,Grayhole,2919,0.9637389202256245,0.40972935936964716,0.575,0.0006248784958480296,0.5902706406303528
LightGBM,Flooding,662,0.01818181818181818,0.004531722054380665,0.007255139056831923,0.002181201276406673,0.9954682779456193
LightGBM,TDMA,1328,0.5294753921038399,0.7371987951807228,0.6163046899590809,0.011819849195027512,0.2628012048192771
CatBoost,Normal,68014,0.9980160771231649,0.9985003087599612,0.9982581342192105,0.019511490099725394,0.0014996912400388155
CatBoost,Blackhole,2010,0.9748892171344166,0.9850746268656716,0.9799554565701559,0.0006993678263373695,0.014925373134328358
CatBoost,Grayhole,2919,0.9800892550635084,0.9780746831106544,0.9790809327846365,0.000805398950204127,0.021925316889345667
CatBoost,Flooding,662,0.9240687679083095,0.974320241691843,0.9485294117647058,0.0007136028867256399,0.0256797583081571
CatBoost,TDMA,1328,0.9839228295819936,0.9216867469879518,0.9517884914463453,0.00027172067115005776,0.0783132530120482
XGBoost,Normal,68014,0.9979723177289959,0.9986179316023172,0.9982950202833794,0.019945078768608182,0.00138206839768283
XGBoost,Blackhole,2010,0.9777777777777777,0.9850746268656716,0.9814126394052044,0.0006170892585329732,0.014925373134328358
XGBoost,Grayhole,2919,0.9801029159519725,0.9787598492634464,0.9794309221803222,0.000805398950204127,0.021240150736553613
XGBoost,Flooding,662,0.9328467153284672,0.9652567975830816,0.9487750556792874,0.0006193534488562158,0.03474320241691843
XGBoost,TDMA,1328,0.984,0.9262048192771084,0.9542280837858804,0.00027172067115005776,0.07379518072289157
