model,metric,metric_label,stage,value,delta,benefit_delta,higher_is_better,improved
Logistic Regression,accuracy,Accuracy,Original Train,0.9747240868509202,-0.004257136375161785,-0.004257136375161785,True,False
Logistic Regression,accuracy,Accuracy,Balanced Train,0.9704669504757584,-0.004257136375161785,-0.004257136375161785,True,False
Decision Tree,accuracy,Accuracy,Original Train,0.9861209347016668,-0.00907477346429475,-0.00907477346429475,True,False
Decision Tree,accuracy,Accuracy,Balanced Train,0.9770461612373721,-0.00907477346429475,-0.00907477346429475,True,False
Random Forest,accuracy,Accuracy,Original Train,0.9960231139818237,-0.0006672627547275045,-0.0006672627547275045,True,False
Random Forest,accuracy,Accuracy,Balanced Train,0.9953558512270962,-0.0006672627547275045,-0.0006672627547275045,True,False
LightGBM,accuracy,Accuracy,Original Train,0.9421483191651209,0.05115236277741442,0.05115236277741442,True,True
LightGBM,accuracy,Accuracy,Balanced Train,0.9933006819425353,0.05115236277741442,0.05115236277741442,True,True
CatBoost,accuracy,Accuracy,Original Train,0.9957695541350273,-0.0005471554588766248,-0.0005471554588766248,True,False
CatBoost,accuracy,Accuracy,Balanced Train,0.9952223986761507,-0.0005471554588766248,-0.0005471554588766248,True,False
XGBoost,accuracy,Accuracy,Original Train,0.9959030066859728,-0.0007072985200111681,-0.0007072985200111681,True,False
XGBoost,accuracy,Accuracy,Balanced Train,0.9951957081659616,-0.0007072985200111681,-0.0007072985200111681,True,False
Logistic Regression,macro_precision_from_report,Macro Precision,Original Train,0.8719120698009746,-0.030010982483214765,-0.030010982483214765,True,False
Logistic Regression,macro_precision_from_report,Macro Precision,Balanced Train,0.8419010873177598,-0.030010982483214765,-0.030010982483214765,True,False
Decision Tree,macro_precision_from_report,Macro Precision,Original Train,0.9661124010826004,-0.07036575128063449,-0.07036575128063449,True,False
Decision Tree,macro_precision_from_report,Macro Precision,Balanced Train,0.8957466498019659,-0.07036575128063449,-0.07036575128063449,True,False
Random Forest,macro_precision_from_report,Macro Precision,Original Train,0.9730318203897605,-0.005490899264688376,-0.005490899264688376,True,False
Random Forest,macro_precision_from_report,Macro Precision,Balanced Train,0.9675409211250722,-0.005490899264688376,-0.005490899264688376,True,False
LightGBM,macro_precision_from_report,Macro Precision,Original Train,0.6310876521387547,0.32075992095951655,0.32075992095951655,True,True
LightGBM,macro_precision_from_report,Macro Precision,Balanced Train,0.9518475730982713,0.32075992095951655,0.32075992095951655,True,True
CatBoost,macro_precision_from_report,Macro Precision,Original Train,0.9721972293622786,-0.005723488572167645,-0.005723488572167645,True,False
CatBoost,macro_precision_from_report,Macro Precision,Balanced Train,0.966473740790111,-0.005723488572167645,-0.005723488572167645,True,False
XGBoost,macro_precision_from_report,Macro Precision,Original Train,0.9745399453574427,-0.006480377669728976,-0.006480377669728976,True,False
